acc_x,acc_y,acc_z,alt,label
-0.175903,0.01001,0.970337,331.924774,none
-0.19104,0.009277,0.941772,331.695282,none
-0.146851,0.008057,1.000488,331.767456,none
-0.141968,-0.000244,0.943604,331.767456,none
-0.161377,0.019897,0.973999,331.7742,none
-0.226807,0.029663,0.94397,331.7742,none
-0.180542,0.004883,0.969971,331.868164,none
-0.155762,0.01062,0.966187,331.868164,none
-0.129028,0.016968,0.970093,332.0047,none
-0.1521,0.008301,0.973877,332.0047,none
-0.180298,0.00415,0.961548,331.809509,none
-0.189331,0.02002,0.959106,331.817291,none
-0.181152,0.022949,0.963379,331.817291,none
-0.178101,0.011475,0.964722,331.860382,none
-0.168945,-0.004639,0.963379,331.860382,none
-0.151855,0.01001,0.972168,331.794464,none
-0.165405,0.026367,0.9646,331.794464,none
-0.171387,0.018066,0.961548,331.98291,none
-0.184937,0.008301,0.965088,331.98291,none
-0.172607,0.016113,0.970337,332.075317,none
-0.185059,0.006714,0.959961,331.822998,none
-0.169678,0.010498,0.96936,331.822998,none
-0.160034,0.011353,0.973022,331.815216,none
-0.167358,0.000244,0.962891,331.815216,none
-0.196777,0.000488,0.958984,331.947601,none
-0.18335,0.008301,0.963257,331.947601,none
-0.179932,0.019775,0.966675,331.664154,none
-0.166016,0.013062,0.963013,331.664154,none
-0.159424,0.002563,0.972412,332.163574,none
-0.153198,0.011597,0.965332,332.068573,none
-0.201904,-0.1604,0.634033,332.068573,none
-0.081665,0.04126,1.095337,332.083618,none
-0.127808,0.174072,1.003052,332.083618,none
-0.147339,0.08606,0.914307,331.924774,none
-0.112427,0.06665,1.000366,331.924774,none
-0.16333,0.052734,0.952026,331.874908,none
-0.160767,0.056763,0.992554,331.874908,none
-0.113037,0.020874,1.019897,332.218597,none
-0.226074,0.070435,0.89502,331.933075,none
-0.264893,0.115356,0.986084,331.933075,none
-0.187866,0.091553,0.904419,331.917999,none
-0.127197,0.047852,1.000732,331.917999,none
-0.1875,0.141479,0.93042,332.062347,none
-0.142334,0.155396,0.876831,332.062347,none
-0.175903,0.205322,0.932861,331.8526,none
-0.147949,0.18396,0.992554,331.845856,none
-0.130859,0.194824,1.024536,331.845856,none
-0.159058,0.251099,0.953003,331.796539,none
-0.128784,0.202148,0.954712,331.796539,none
-0.10083,0.164185,1.001709,332.002625,none
-0.097534,0.089722,0.947266,332.002625,none
-0.104004,0.037354,0.985474,331.967865,none
-0.102417,0.045898,0.945435,331.967865,none
-0.124268,0.075317,0.889893,331.933075,none
-0.180542,0.098633,0.939453,331.809509,none
-0.191284,0.080566,0.953003,331.809509,none
-0.180786,0.060913,0.871338,332.110107,none
-0.22229,0.063965,0.913574,332.110107,none
-0.21875,-0.045166,0.984985,332.081543,none
-0.199097,-0.038574,0.893066,332.081543,none
-0.13208,-0.095703,0.983276,331.894135,none
-0.153442,-0.176636,0.981201,331.894135,none
-0.113403,-0.155029,1.036621,331.994843,none
-0.171387,-0.201416,0.893921,332.110107,none
-0.231323,-0.203735,0.911621,332.110107,none
-0.19458,-0.153198,0.958252,331.951752,none
-0.190186,-0.187134,1.033691,331.951752,none
-0.192261,-0.1073,0.952026,331.96524,none
-0.16748,-0.139038,0.923706,331.96524,none
-0.097168,-0.188599,0.990845,331.821442,none
-0.180298,-0.162109,0.936401,331.821442,none
-0.165161,-0.164673,1.007568,331.971497,none
-0.228271,-0.176758,0.877075,332.064423,none
-0.206055,-0.140625,0.848755,332.064423,none
-0.130737,-0.091309,0.829956,332.171875,none
-0.192383,-0.016602,0.766724,332.171875,none
-0.236206,0.139404,1.121826,332.050385,none
-0.240234,-0.06311,1.148315,332.050385,none
-0.134277,-0.075073,1.057373,331.761749,none
-0.170044,-0.052979,0.953613,331.761749,none
-0.134155,-0.060791,0.947876,331.84845,none
-0.173706,-0.06897,0.964233,331.632477,none
-0.121704,-0.038574,1.031128,331.632477,none
0.062012,-0.09021,0.782471,331.920593,none
0.123413,0.12146,1.031128,331.920593,none
0.023438,-0.055054,1.089233,331.788727,none
-0.02356,0.01355,0.984009,331.788727,none
-0.150879,-0.059814,1.056885,331.924774,none
-0.102539,-0.103882,0.918213,331.924774,none
-0.099976,-0.114746,1.049683,331.927368,none
-0.081787,-0.086548,0.934937,331.940857,none
-0.049072,-0.093506,0.979492,331.940857,none
-0.13916,-0.051025,0.889038,331.947601,none
-0.158203,-0.036377,0.984497,331.947601,none
-0.127686,-0.049072,0.956787,332.069092,none
-0.120361,-0.097046,0.937378,332.069092,none
-0.083496,-0.009277,0.952393,332.083618,none
-0.008301,-0.069824,0.983887,332.083618,none
-0.117798,-0.132446,1.015991,332.055084,none
-0.170776,-0.179077,1.036255,332.017181,none
-0.029175,0.046997,0.821167,332.017181,none
-0.155273,-0.072021,1.05249,332.005219,none
-0.056641,-0.119141,1.061035,332.005219,none
-0.209961,-0.057983,0.843018,332.090363,none
-0.230469,-0.139648,1.021484,332.090363,none
-0.244629,-0.111694,0.930908,332.110107,none
-0.147461,-0.099365,0.940674,332.0961,none
-0.161377,-0.063965,1.009277,332.0961,none
-0.147949,-0.064453,0.941528,331.901917,none
-0.163208,-0.076538,0.9729,331.901917,none
